                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9301,                 3.8879,                 1.4293,                0.00606,                0.16923,                0.10883,                 0.0941,                 1.0684,                 3.3779,                  1.053,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 1.5253,                 3.7193,                 1.2932,                0.01702,                0.48462,                0.23824,                0.16083,                 1.2261,                 3.3292,                 1.0013,              0.0001163,              0.0001163,              0.0001163
                      3,                 1.2121,                 3.0012,                 1.0553,                0.01568,                    0.5,                0.42886,                0.25611,                 1.0206,                 3.2075,                0.89059,             0.00018216,             0.00018216,             0.00018216
                      4,                 1.0805,                 1.8251,                0.89952,                      1,                0.29353,                0.46778,                0.25996,                 1.0242,                 2.8633,                0.85169,             0.00024757,             0.00024757,             0.00024757
                      5,                0.95837,                 1.0641,                0.88062,                0.96025,                0.28462,                 0.4558,                0.30819,                0.89647,                 2.6344,                0.84147,             0.00031255,             0.00031255,             0.00031255
                      6,                0.92021,                0.99079,                0.89696,                      1,                0.48467,                0.50132,                0.41913,                0.82615,                 2.4662,                0.86193,             0.00037708,             0.00037708,             0.00037708
                      7,                0.87435,                0.94952,                 0.8856,                      1,                0.38699,                0.49875,                0.40365,                0.84625,                  2.554,                0.85169,             0.00044118,             0.00044118,             0.00044118
                      8,                0.80088,                0.85258,                0.87227,                      1,                0.29004,                0.49858,                0.43737,                0.72496,                 2.6211,                0.82326,             0.00050483,             0.00050483,             0.00050483
                      9,                0.75422,                 0.7946,                0.85688,                      1,                 0.4455,                0.50229,                0.43361,                0.71954,                 2.4974,                0.81654,             0.00056805,             0.00056805,             0.00056805
                     10,                 0.7869,                0.73722,                0.87221,                      1,                0.21766,                0.60363,                 0.5263,                0.67047,                 2.3327,                0.81365,             0.00063082,             0.00063082,             0.00063082
                     11,                0.71818,                0.70831,                0.86664,                      1,                0.17827,                0.57522,                0.50128,                0.67938,                 2.4121,                0.81517,             0.00069316,             0.00069316,             0.00069316
                     12,                0.78733,                0.71783,                0.85727,                      1,                 0.2989,                0.90186,                  0.708,                0.82179,                 2.3008,                0.83664,             0.00075505,             0.00075505,             0.00075505
                     13,                0.75836,                 0.6977,                0.88875,                      1,                0.40567,                0.97148,                0.80341,                0.67743,                 2.1717,                 0.8172,              0.0008165,              0.0008165,              0.0008165
